location,date,total_cases,new_cases_smoothed,total_deaths,new_deaths_smoothed,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations_smoothed,new_people_vaccinated_smoothed
High income,4/2/22,274519313,1142517,2320139,2617.714,859770068,799865140,554108129,1720170,104397
High income,4/3/22,275118663,1122292.571,2321090,2601.714,859831065,799954020,554727552,1710237,106056
High income,4/4/22,275865635,1073301.714,2323089,2509.143,859944843,800110522,556168030,1720490,109185
High income,4/5/22,277024131,1026363.571,2325931,2471.857,860050238,800258356,557559596,1726522,111586
High income,4/6/22,278234753,1013040.857,2332201,2444.857,860176695,800469794,558996065,1719684,113670
High income,4/7/22,279223021,930634.714,2335271,2411.429,860285888,800623244,560395131,1708310,111264
High income,4/8/22,280162358,931539.571,2338214,2385,860419464,800807663,562265394,1736798,110729
High income,4/9/22,280799138,897117.857,2339414,2332.571,860508852,800920400,563548482,1754126,111634
High income,4/10/22,281261339,877525.143,2340213,2310.857,860571642,800998815,564274396,1757918,112192
High income,4/11/22,282053847,884030.286,2342299,2323.286,860685543,801146351,565537374,1764568,112684
High income,4/12/22,283000895,853823.429,2344609,2247.286,860813219,801341678,566980673,1783027,115229
High income,4/13/22,283880232,806497,2348032,2261.571,860942498,801493329,568375602,1783736,116817
High income,4/14/22,284713436,784345,2350884,2230.429,861079893,801651851,569793853,1788010,119490
High income,4/15/22,285234897,725797.857,2352396,2028.857,861177853,801749360,571270681,1721881,116494
High income,4/16/22,285719543,704064.429,2353257,1980.429,861244606,801818792,572395922,1690631,114048
High income,4/17/22,286053237,685706.286,2353825,1947.429,861302639,801888387,573192358,1664608,110748
High income,4/18/22,286408687,623269.429,2354596,1759.571,861393959,801984185,574650424,1617556,107364
High income,4/19/22,287237260,606383.429,2357040,1778.714,861510501,802122734,575985631,1604180,106768
High income,4/20/22,288054881,597678.857,2360628,1802.286,861631244,802255937,577410819,1606566,106076
High income,4/21/22,288821342,588144.143,2363315,1784.571,861784580,802441608,578912542,1636750,108948
High income,4/22/22,289530016,613739.429,2365588,1888.429,861904051,802590152,580778851,1691952,110236
High income,4/23/22,289949620,604447.714,2366296,1866.571,861990641,802682790,582006802,1719851,112542
High income,4/24/22,290254002,600260.286,2366732,1847.714,862051317,802746326,582657065,1733518,115494
High income,4/25/22,290750032,620343.143,2368350,1968.714,862144307,802847144,583887808,1765383,115724
High income,4/26/22,291252988,573787.429,2370509,1928,862244179,802962226,585325860,1776905,113631
High income,4/27/22,291964730,558549.857,2373202,1800.286,862360021,803119488,586872339,1782264,111195
High income,4/28/22,292608544,541028.857,2375505,1740.571,862466737,803240004,588489905,1772483,105205
High income,4/29/22,293159964,518564,2377319,1677,862590924,803392834,590119430,1739207,105883
High income,4/30/22,293451244,500232,2377933,1663.571,862689253,803496694,591124025,1695806,106215
High income,5/1/22,293697343,491905.857,2378328,1658.571,862742762,803554347,591514531,1653923,104937
High income,5/2/22,294107014,479568.857,2379564,1604.143,862819488,803637193,592541201,1607707,103253
High income,5/3/22,294711263,494039.286,2381913,1631.286,862907235,803734939,593554392,1539464,102228
High income,5/4/22,295257951,470460.143,2385183,1713.571,863014682,803871126,594741385,1481172,101957
High income,5/5/22,295772420,451982.286,2387239,1677.286,863134259,804000146,600954369,1370121,101023
High income,5/6/22,296323899,451990.714,2388934,1660.286,863266128,804132122,602432838,1336625,98938
High income,5/7/22,296611777,451504.714,2389599,1667.571,863334315,804205690,603211087,1296486,95921
High income,5/8/22,296830146,447543.286,2389913,1655.143,863382398,804255057,603576220,1290771,95150
High income,5/9/22,297488689,483096.429,2391412,1692.571,863468029,804340199,604508127,1286712,96032
High income,5/10/22,298043902,476091.286,2393013,1585.714,863580067,804436486,605603330,1301149,98893
High income,5/11/22,298661376,486203.571,2395148,1423.571,863680342,804554524,606827204,1305543,97767
High income,5/12/22,299229731,493901.571,2396485,1320.857,863778554,804649551,607996772,1347438,97606
High income,5/13/22,299725584,485955,2397914,1282.857,863919894,804769045,609521857,1357069,100553
High income,5/14/22,300114116,500334.143,2398437,1263,863985031,804834394,610414676,1374029,100402
High income,5/15/22,300417688,512506,2398749,1262.714,864042373,804886626,610823604,1386865,101141
High income,5/16/22,300974140,497921.571,2399972,1223.286,864131809,805010804,611750893,1387632,101492
High income,5/17/22,301538163,499180.143,2401597,1222.286,864239454,805106714,612781486,1384547,100904
High income,5/18/22,302227188,509401.714,2403617,1205.857,864345786,805216047,613898050,1369113,101777
High income,5/19/22,302777662,506847.286,2405168,1236.429,864452912,805318306,615025279,1363832,102960
High income,5/20/22,303294594,509858.571,2406361,1202.714,864583270,805498441,616637074,1348337,102346
High income,5/21/22,303632561,502635,2407092,1232,864645862,805563544,617442244,1335059,101958
High income,5/22/22,303868845,493034.714,2407329,1221.286,864698116,806048507,618051956,1326567,101406
High income,5/23/22,304309659,480751.143,2408337,1190.714,864786973,806138848,618966904,1319971,100811
High income,5/24/22,304809367,471563.286,2409523,1133.143,864878666,806227689,619920337,1297529,98325
High income,5/25/22,305392977,456504,2411733,1160.429,865000894,806352498,620982572,1280386,100257
High income,5/26/22,305840156,442309.714,2412998,1119.714,865124819,806461056,621867991,1246535,102843
High income,5/27/22,306336578,439379.714,2414546,1170.429,865284686,806570662,623051632,1216529,107317
High income,5/28/22,306569875,424426.857,2414987,1129,865333567,806626753,623768202,1181222,109842
High income,5/29/22,306762437,418168.571,2415215,1127.714,865449305,806685375,624107940,1174381,113789
High income,5/30/22,307102908,399597.714,2416026,1099.429,865532790,806733935,624726062,1121192,113600
High income,5/31/22,307647683,406035.857,2417125,1086.286,865684950,806822856,625675784,1125890,122122
High income,6/1/22,308242720,407668.286,2418821,1012.714,866490602,807678119,626576128,1051702,122640
High income,6/2/22,308681960,405972,2420020,1003.143,866675275,807759220,627784196,976874,121248
High income,6/3/22,309156895,402902.429,2421278,961.714,866771014,807833258,628646322,,
High income,6/4/22,309373789,400559.143,2421639,950.286,866801108,807866939,629115906,,
High income,6/5/22,309558749,399473.143,2422078,980.429,866866829,807894597,629290394,,
High income,6/6/22,309866069,394737.286,2422839,973.286,866927544,807918630,629647967,,
High income,6/7/22,310442409,399263.714,2424449,1046.286,866975812,807940885,630006624,,
High income,6/8/22,311066603,403429,2426522,1100.143,867036103,807958008,630199374,,
Low income,2/23/20,,,,,,,,,
Low income,2/24/20,5,,,,,,,,
Low income,2/25/20,5,,,,,,,,
Low income,2/26/20,5,,,,,,,,
Low income,2/27/20,5,,,,,,,,
Low income,2/28/20,5,0.714,,0,,,,,
Low income,2/29/20,5,0.714,,0,,,,,
Low income,3/1/20,5,0.714,,0,,,,,
Low income,3/2/20,5,0,,0,,,,,
Low income,3/3/20,5,0,,0,,,,,
Low income,3/4/20,5,0,,0,,,,,
Low income,3/5/20,5,0,,0,,,,,
Low income,3/6/20,6,0.143,,0,,,,,
Low income,3/7/20,9,0.571,,0,,,,,
Low income,3/8/20,9,0.571,,0,,,,,
Low income,3/9/20,9,0.571,,0,,,,,
Low income,3/10/20,10,0.714,,0,,,,,
Low income,3/11/20,15,1.429,,0,,,,,
Low income,3/12/20,15,1.429,,0,,,,,
Low income,3/13/20,18,1.714,1,0.143,,,,,
Low income,3/14/20,23,2,1,0.143,,,,,
Low income,3/15/20,31,3.143,1,0.143,,,,,
Low income,3/16/20,57,6.857,1,0.143,,,,,
Low income,3/17/20,67,8.143,1,0.143,,,,,
Low income,3/18/20,76,8.714,2,0.286,,,,,
Low income,3/19/20,100,12.143,2,0.286,,,,,
Low income,3/20/20,135,17,2,0.143,,,,,
Low income,3/21/20,172,22,4,0.429,,,,,
Low income,3/22/20,207,25.857,6,0.714,,,,,
Low income,3/23/20,283,33,8,1,,,,,
Low income,3/24/20,327,37.857,9,1.143,,,,,
Low income,3/25/20,422,50.143,10,1.143,,,,,
Low income,3/26/20,460,52.143,15,1.857,,,,,
Low income,3/27/20,533,57.286,18,2.286,,,,,
Low income,3/28/20,612,62.857,23,2.714,,,,,
Low income,3/29/20,693,69.429,28,3.143,,,,,
Low income,3/30/20,776,70.429,35,3.857,,,,,
Low income,3/31/20,911,83.429,37,4,,,,,
Low income,4/1/20,1046,89.143,44,4.857,,,,,
Low income,4/2/20,1197,105.286,48,4.714,,,,,
Low income,4/3/20,1333,114.286,50,4.571,,,,,
Low income,4/4/20,1466,122,58,5,,,,,
Low income,4/5/20,1603,130,68,5.714,,,,,
Low income,4/6/20,1777,143,71,5.143,,,,,
Low income,4/7/20,1941,147.143,78,5.857,,,,,
Low income,4/8/20,2147,157.286,88,6.286,,,,,
Low income,4/9/20,2336,162.714,91,6.143,,,,,
Low income,4/10/20,2545,173.143,94,6.286,,,,,
Low income,4/11/20,2728,180.286,99,5.857,,,,,
Low income,4/12/20,2881,182.571,105,5.286,,,,,
Low income,4/13/20,3074,185.286,111,5.714,,,,,
Low income,4/14/20,3316,196.429,124,6.571,,,,,
Low income,4/15/20,3563,202.286,134,6.571,,,,,
Low income,4/16/20,3679,191.857,141,7.143,,,,,
Low income,4/17/20,3931,198,154,8.571,,,,,
Low income,4/18/20,4207,211.429,164,9.286,,,,,
Low income,4/19/20,4397,216.714,169,9.143,,,,,
Low income,4/20/20,4656,226.143,179,9.714,,,,,
Low income,4/21/20,4908,227.571,183,8.429,,,,,
Low income,4/22/20,5173,230.143,191,8.143,,,,,
Low income,4/23/20,5505,261,215,10.571,,,,,
Low income,4/24/20,5788,265.429,216,8.857,,,,,
Low income,4/25/20,6151,277.714,229,9.286,,,,,
Low income,4/26/20,6457,294.286,255,12.286,,,,,
Low income,4/27/20,6865,315.571,261,11.714,,,,,
Low income,4/28/20,7337,347,287,14.857,,,,,
Low income,4/29/20,7942,395.571,294,14.714,,,,,
Low income,4/30/20,8276,395.857,309,13.429,,,,,
Low income,5/1/20,8915,446.714,321,15,,,,,
Low income,5/2/20,9639,498.286,348,17,,,,,
Low income,5/3/20,9830,481.857,352,13.857,,,,,
Low income,5/4/20,10320,493.571,363,14.571,,,,,
Low income,5/5/20,10787,492.857,388,14.429,,,,,
Low income,5/6/20,12005,580.429,426,18.857,,,,,
Low income,5/7/20,12758,640.286,460,21.571,,,,,
Low income,5/8/20,13323,629.714,479,22.571,,,,,
Low income,5/9/20,13871,604.571,499,21.571,,,,,
Low income,5/10/20,15180,764.286,529,25.286,,,,,
Low income,5/11/20,15878,795,539,25.143,,,,,
Low income,5/12/20,16886,872.286,568,25.714,,,,,
Low income,5/13/20,17415,773.857,604,25.429,,,,,
Low income,5/14/20,18438,812.429,622,23.143,,,,,
Low income,5/15/20,19776,922.857,651,24.571,,,,,
Low income,5/16/20,20876,1001.714,696,28.143,,,,,
Low income,5/17/20,21775,943.143,714,26.429,,,,,
Low income,5/18/20,23001,1017.571,731,27.429,,,,,
Low income,5/19/20,23996,1015.714,761,27.571,,,,,
Low income,5/20/20,25113,1099.714,783,25.571,,,,,
Low income,5/21/20,26658,1189.143,812,27.143,,,,,
Low income,5/22/20,27649,1139.571,851,28.571,,,,,
Low income,5/23/20,29252,1211.429,886,27.143,,,,,
Low income,5/24/20,30817,1306.571,921,29.571,,,,,
Low income,5/25/20,32328,1347.286,947,30.857,,,,,
Low income,5/26/20,33577,1383.571,963,28.857,,,,,
Low income,5/27/20,34905,1413.714,1004,31.571,,,,,
Low income,5/28/20,36750,1441.714,1033,31.571,,,,,
Low income,5/29/20,38213,1509.143,1095,34.857,,,,,
Low income,5/30/20,39895,1520.429,1146,37.143,,,,,
Low income,5/31/20,41264,1492.429,1189,38.286,,,,,
Low income,6/1/20,42943,1516.429,1227,40,,,,,
Low income,6/2/20,44462,1555,1248,40.714,,,,,
Low income,6/3/20,46119,1602,1296,41.714,,,,,
Low income,6/4/20,47743,1570.429,1339,43.714,,,,,
Low income,6/5/20,49761,1649.714,1383,41.143,,,,,
Low income,6/6/20,51260,1623.571,1427,40.143,,,,,
Low income,6/7/20,53098,1690.571,1474,40.714,,,,,
Low income,6/8/20,54736,1684.714,1512,40.714,,,,,
Low income,6/9/20,55839,1625.286,1563,45,,,,,
Low income,6/10/20,57581,1637.429,1620,46.286,,,,,
Low income,6/11/20,59336,1656.143,1673,47.714,,,,,
Low income,6/12/20,60911,1592.857,1737,50.571,,,,,
Low income,6/13/20,62431,1595.857,1802,53.571,,,,,
Low income,6/14/20,63814,1530.857,1845,53,,,,,
Low income,6/15/20,65577,1548.714,1912,57.143,,,,,
Low income,6/16/20,66842,1571.857,1951,55.429,,,,,
Low income,6/17/20,69078,1642.429,2026,58,,,,,
Low income,6/18/20,70603,1609.571,2081,58.286,,,,,
Low income,6/19/20,71795,1554.857,2125,55.429,,,,,
Low income,6/20/20,73622,1598.714,2148,49.429,,,,,
Low income,6/21/20,75118,1614.857,2203,51.143,,,,,
Low income,6/22/20,76253,1525.143,2253,48.714,,,,,
Low income,6/23/20,77427,1512.143,2301,50,,,,,
Low income,6/24/20,78591,1359,2350,46.286,,,,,
Low income,6/25/20,79921,1331.143,2416,47.857,,,,,
Low income,6/26/20,81062,1323.857,2465,48.571,,,,,
Low income,6/27/20,82440,1259.714,2507,51.286,,,,,
Low income,6/28/20,83572,1207.714,2552,49.857,,,,,
Low income,6/29/20,84723,1210,2581,46.857,,,,,
Low income,6/30/20,85489,1151.714,2602,43,,,,,
Low income,7/1/20,86419,1118.286,2687,48.143,,,,,
Low income,7/2/20,87339,1059.714,2733,45.286,,,,,
Low income,7/3/20,88627,1080.714,2767,43.143,,,,,
Low income,7/4/20,89621,1025.857,2793,40.857,,,,,
Low income,7/5/20,90426,979.143,2840,41.143,,,,,
Low income,7/6/20,91251,932.571,2887,43.714,,,,,
Low income,7/7/20,92254,966.429,2932,47.143,,,,,
Low income,7/8/20,93891,1067.429,2990,43.286,,,,,
Low income,7/9/20,95385,1149.429,3017,40.571,,,,,
Low income,7/10/20,97157,1218.571,3080,44.714,,,,,
Low income,7/11/20,98519,1271.143,3094,43,,,,,
Low income,7/12/20,99606,1311.429,3192,50.286,,,,,
Low income,7/13/20,100572,1331.571,3223,48,,,,,
Low income,7/14/20,101801,1363.857,3281,49.857,,,,,
Low income,7/15/20,102981,1298.571,3361,53,,,,,
Low income,7/16/20,104586,1314.429,3422,57.857,,,,,
Low income,7/17/20,105888,1247.286,3473,56.143,,,,,
Low income,7/18/20,107083,1223.429,3500,58,,,,,
Low income,7/19/20,108473,1266.714,3571,54.143,,,,,
Low income,7/20/20,109960,1341.143,3593,52.857,,,,,
Low income,7/21/20,111696,1413.571,3624,49,,,,,
Low income,7/22/20,113664,1526.143,3678,45.286,,,,,
Low income,7/23/20,115016,1490,3721,42.714,,,,,
Low income,7/24/20,116716,1546.857,3775,43.143,,,,,
Low income,7/25/20,117764,1525.857,3818,45.429,,,,,
Low income,7/26/20,119633,1594.286,3874,43.286,,,,,
Low income,7/27/20,121155,1599.857,3915,46,,,,,
Low income,7/28/20,122711,1574.143,3940,45.143,,,,,
Low income,7/29/20,124015,1479.286,3965,41,,,,,
Low income,7/30/20,125884,1553.143,3993,38.857,,,,,
Low income,7/31/20,127529,1545.286,4045,38.571,,,,,
Low income,8/1/20,128973,1601.857,4086,38.286,,,,,
Low income,8/2/20,130340,1530.143,4127,36.143,,,,,
Low income,8/3/20,131324,1452.714,4165,35.714,,,,,
Low income,8/4/20,132843,1447.429,4216,39.429,,,,,
Low income,8/5/20,134267,1464.571,4256,41.571,,,,,
Low income,8/6/20,135804,1417.143,4279,40.857,,,,,
Low income,8/7/20,137313,1397.714,4319,39.143,,,,,
Low income,8/8/20,138842,1409.857,4357,38.714,,,,,
Low income,8/9/20,140098,1394,4416,41.286,,,,,
Low income,8/10/20,141425,1443,4440,39.286,,,,,
Low income,8/11/20,142839,1428.143,4523,43.857,,,,,
Low income,8/12/20,144504,1462.571,4569,44.714,,,,,
Low income,8/13/20,146494,1527.286,4633,50.571,,,,,
Low income,8/14/20,148287,1567.857,4667,49.714,,,,,
Low income,8/15/20,150806,1709.286,4710,50.429,,,,,
Low income,8/16/20,152853,1822.286,4762,49.429,,,,,
Low income,8/17/20,155001,1939.571,4799,51.286,,,,,
Low income,8/18/20,157366,2075.286,4842,45.571,,,,,
Low income,8/19/20,159423,2131.286,4900,47.286,,,,,
Low income,8/20/20,162146,2236,4953,45.714,,,,,
Low income,8/21/20,164757,2352.857,4980,44.714,,,,,
Low income,8/22/20,167116,2330,5020,44.286,,,,,
Low income,8/23/20,169780,2418.143,5051,41.286,,,,,
Low income,8/24/20,171963,2437.429,5083,40.571,,,,,
Low income,8/25/20,174363,2442.429,5129,41,,,,,
Low income,8/26/20,176681,2479.714,5170,38.571,,,,,
Low income,8/27/20,178430,2340.571,5206,36.143,,,,,
Low income,8/28/20,180904,2321,5233,36.143,,,,,
Low income,8/29/20,183056,2291.429,5258,34,,,,,
Low income,8/30/20,185258,2225.429,5289,34,,,,,
Low income,8/31/20,186715,2107.429,5316,33.286,,,,,
Low income,9/1/20,188536,2024.714,5352,31.857,,,,,
Low income,9/2/20,190169,1926.857,5385,30.714,,,,,
Low income,9/3/20,191697,1895.286,5408,28.857,,,,,
Low income,9/4/20,193587,1811.857,5442,30,,,,,
Low income,9/5/20,195352,1756.571,5478,31.571,,,,,
Low income,9/6/20,197404,1735.143,5516,32.571,,,,,
Low income,9/7/20,198925,1744.286,5547,33.143,,,,,
Low income,9/8/20,200778,1748.857,5584,33.286,,,,,
Low income,9/9/20,202370,1743,5610,32.286,,,,,
Low income,9/10/20,203944,1749.571,5639,33.143,,,,,
Low income,9/11/20,205341,1679.143,5661,31.286,,,,,
Low income,9/12/20,206629,1611,5684,29.429,,,,,
Low income,9/13/20,207843,1491.286,5713,28.143,,,,,
Low income,9/14/20,208922,1428.143,5738,27.286,,,,,
Low income,9/15/20,210295,1359.571,5765,25.857,,,,,
Low income,9/16/20,211781,1344.429,5795,26.429,,,,,
Low income,9/17/20,213010,1295.143,5818,25.571,,,,,
Low income,9/18/20,214351,1287.143,5841,25.714,,,,,
Low income,9/19/20,216016,1341,5866,26,,,,,
Low income,9/20/20,217627,1397.714,5890,25.286,,,,,
Low income,9/21/20,219079,1451,5913,25,,,,,
Low income,9/22/20,220543,1464,5942,25.286,,,,,
Low income,9/23/20,221826,1435,5971,25.143,,,,,
Low income,9/24/20,222957,1421,5992,24.857,,,,,
Low income,9/25/20,224057,1386.571,6009,24,,,,,
Low income,9/26/20,225227,1315.857,6029,23.286,,,,,
Low income,9/27/20,226532,1272.143,6047,22.429,,,,,
Low income,9/28/20,227910,1261.571,6065,21.714,,,,,
Low income,9/29/20,229286,1249,6089,21,,,,,
Low income,9/30/20,230623,1256.714,6102,18.714,,,,,
Low income,10/1/20,231930,1281.857,6115,17.571,,,,,
Low income,10/2/20,233486,1347,6131,17.429,,,,,
Low income,10/3/20,234829,1371.714,6144,16.429,,,,,
Low income,10/4/20,236462,1418.571,6160,16.143,,,,,
Low income,10/5/20,237611,1385.857,6180,16.429,,,,,
Low income,10/6/20,238731,1349.286,6202,16.143,,,,,
Low income,10/7/20,240168,1363.571,6230,18.286,,,,,
Low income,10/8/20,241699,1395.571,6245,18.571,,,,,
Low income,10/9/20,243067,1368.714,6266,19.286,,,,,
Low income,10/10/20,244458,1375.571,6291,21,,,,,
Low income,10/11/20,245866,1343.429,6311,21.571,,,,,
Low income,10/12/20,247140,1361.286,6340,22.857,,,,,
Low income,10/13/20,248261,1361.429,6352,21.429,,,,,
Low income,10/14/20,249602,1347.714,6371,20.143,,,,,
Low income,10/15/20,250810,1301.571,6391,20.857,,,,,
Low income,10/16/20,252145,1296.857,6432,23.714,,,,,
Low income,10/17/20,253333,1267.857,6451,22.857,,,,,
Low income,10/18/20,254603,1248.143,6467,22.286,,,,,
Low income,10/19/20,255973,1261.857,6489,21.286,,,,,
Low income,10/20/20,257065,1257.714,6506,22,,,,,
Low income,10/21/20,258176,1224.857,6528,22.429,,,,,
Low income,10/22/20,259332,1217.429,6550,22.714,,,,,
Low income,10/23/20,260498,1193.286,6566,19.143,,,,,
Low income,10/24/20,261787,1207.714,6601,21.429,,,,,
Low income,10/25/20,262753,1164.286,6619,21.714,,,,,
Low income,10/26/20,263597,1089.143,6642,21.857,,,,,
Low income,10/27/20,264779,1102,6665,22.714,,,,,
Low income,10/28/20,265947,1110.143,6686,22.571,,,,,
Low income,10/29/20,267464,1161.714,6706,22.286,,,,,
Low income,10/30/20,268852,1193.429,6726,22.857,,,,,
Low income,10/31/20,269743,1136.571,6739,19.714,,,,,
Low income,11/1/20,270955,1171.714,6761,20.286,,,,,
Low income,11/2/20,271930,1190.429,6779,19.571,,,,,
Low income,11/3/20,273328,1221.286,6805,20,,,,,
Low income,11/4/20,274494,1221,6825,19.857,,,,,
Low income,11/5/20,275729,1180.714,6841,19.286,,,,,
Low income,11/6/20,276839,1141,6872,20.857,,,,,
Low income,11/7/20,277919,1168,6883,20.571,,,,,
Low income,11/8/20,279369,1202,7179,59.714,,,,,
Low income,11/9/20,280382,1207.429,7203,60.571,,,,,
Low income,11/10/20,281402,1153.429,7228,60.429,,,,,
Low income,11/11/20,282645,1164.429,7258,61.857,,,,,
Low income,11/12/20,283924,1170.714,7284,63.286,,,,,
Low income,11/13/20,285255,1202.286,7312,62.857,,,,,
Low income,11/14/20,287021,1300.286,7331,64,,,,,
Low income,11/15/20,288259,1270,7362,26.143,,,,,
Low income,11/16/20,289771,1341.286,7404,28.714,,,,,
Low income,11/17/20,291056,1379.143,7486,36.857,,,,,
Low income,11/18/20,292753,1444,7525,38.143,,,,,
Low income,11/19/20,294361,1491,7551,38.143,,,,,
Low income,11/20/20,296340,1583.571,7594,40.286,,,,,
Low income,11/21/20,297989,1566.857,7640,44.143,,,,,
Low income,11/22/20,299354,1585,7687,46.429,,,,,
Low income,11/23/20,300872,1585.857,7721,45.286,,,,,
Low income,11/24/20,302431,1625,7759,39,,,,,
Low income,11/25/20,304379,1660.857,7801,39.429,,,,,
Low income,11/26/20,306182,1688.714,7838,41,,,,,
Low income,11/27/20,308420,1725.714,7876,40.286,,,,,
Low income,11/28/20,310071,1726,7918,39.714,,,,,
Low income,11/29/20,311565,1744.429,7945,36.857,,,,,
Low income,11/30/20,313389,1788.143,7993,38.857,,,,,
Low income,12/1/20,315373,1848.857,8028,38.429,,,,,
Low income,12/2/20,317405,1860.857,8084,40.429,,,,,
Low income,12/3/20,319325,1877.571,8140,43.143,,,,,
Low income,12/4/20,321362,1848.857,8178,43.143,,,,,
Low income,12/5/20,323579,1929.714,8224,43.714,,,,,
Low income,12/6/20,325610,2006.429,8257,44.571,,,,,
Low income,12/7/20,328073,2097.714,8305,44.571,,,,,
Low income,12/8/20,329840,2066.714,8357,47,,,,,
Low income,12/9/20,333176,2253,8402,45.429,,,,,
Low income,12/10/20,335698,2339,8455,45,,,,,
Low income,12/11/20,337994,2376,8524,49.429,,,,,
Low income,12/12/20,340741,2451.714,8580,50.857,,,,,
Low income,12/13/20,342866,2465.143,8618,51.571,,,,,
Low income,12/14/20,344914,2405.857,8670,52.143,,,,,
Low income,12/15/20,346663,2403.286,8719,51.714,,,,,
Low income,12/16/20,349121,2277.857,8784,54.571,,,,,
Low income,12/17/20,351917,2317,8866,58.714,,,,,
Low income,12/18/20,354423,2347,8922,56.857,,,,,
Low income,12/19/20,357000,2322.714,8970,55.714,,,,,
Low income,12/20/20,358929,2294.714,9025,58.143,,,,,
Low income,12/21/20,360836,2274.571,9093,60.429,,,,,
Low income,12/22/20,363020,2336.714,9148,61.286,,,,,
Low income,12/23/20,365465,2334.857,9391,86.714,,,,,
Low income,12/24/20,368221,2329.143,9458,84.571,,,,,
Low income,12/25/20,370630,2315.286,9501,82.714,,,,,
Low income,12/26/20,372601,2228.714,9542,81.714,,,,,
Low income,12/27/20,374374,2206.429,9592,81,,,,,
Low income,12/28/20,375643,2115.286,9624,75.857,,,,,
Low income,12/29/20,377689,2095.571,9675,75.286,,,,,
Low income,12/30/20,380011,2078,9719,46.857,,,,,
Low income,12/31/20,382444,2031.857,9751,41.857,,,,,
Low income,1/1/21,384573,1991.857,9806,43.571,,,,,
Low income,1/2/21,386272,1953,9859,45.286,,,,,
Low income,1/3/21,388385,2001.571,9889,42.429,,,,,
Low income,1/4/21,390023,2054.286,9917,41.857,,,,,
Low income,1/5/21,391908,2031.286,9975,42.857,,,,,
Low income,1/6/21,394263,2036,10005,40.857,,,,,
Low income,1/7/21,396689,2035,10056,43.571,,,,,
Low income,1/8/21,399215,2091.714,10106,42.857,,,,,
Low income,1/9/21,401715,2206.143,10158,42.714,,,,,
Low income,1/10/21,405944,2508.429,10207,45.429,,,,,
Low income,1/11/21,408121,2585.429,10267,50,,,,,
Low income,1/12/21,410497,2655.571,10317,48.857,,,,,
Low income,1/13/21,413382,2731.286,10475,67.143,,,,,
Low income,1/14/21,416768,2868.429,10534,68.286,,,,,
Low income,1/15/21,420161,2992.286,10601,70.714,,,,,
Low income,1/16/21,423075,3051.429,10661,71.857,,,,,
Low income,1/17/21,426236,2898.857,10735,75.429,,,,,
Low income,1/18/21,429052,2990.143,10786,74.143,,,,,
Low income,1/19/21,432337,3120,10839,74.571,,,,,
Low income,1/20/21,436076,3242,10905,61.429,,,,,
Low income,1/21/21,439635,3266.714,11018,69.143,,,,,
Low income,1/22/21,443273,3301.714,11104,71.857,,,,,
Low income,1/23/21,446548,3353.286,11168,72.429,,,,,
Low income,1/24/21,450186,3421.429,11248,73.286,,,,,
Low income,1/25/21,452373,3331.571,11480,99.143,,,,,
Low income,1/26/21,456038,3385.857,11504,99.857,,,,,
Low income,1/27/21,459952,3410.857,11554,97.571,,,,,
Low income,1/28/21,463403,3395.429,11705,103,,,,,
Low income,1/29/21,467230,3422.429,11751,97.286,,,,,
Low income,1/30/21,470197,3378.429,11831,99.571,,,,,
Low income,1/31/21,473561,3339.286,11865,93,,,,,
Low income,2/1/21,476162,3398.429,11935,69.857,,,,,
Low income,2/2/21,479019,3283,12018,73.429,,,,,
Low income,2/3/21,482124,3167.429,12087,76.143,,,,,
Low income,2/4/21,485430,3146.714,12143,62.571,,,,,
Low income,2/5/21,488333,3014.714,12178,61,,,,,
Low income,2/6/21,491173,2996.571,12279,64,,,,,
Low income,2/7/21,493717,2879.429,12331,66.571,,,,,
Low income,2/8/21,495866,2814.857,12377,63.143,,,,,
Low income,2/9/21,498638,2802.714,12417,57,,,,,
Low income,2/10/21,501381,2751,12486,57,,,,,
Low income,2/11/21,504054,2660.571,12531,55.429,,,,,
Low income,2/12/21,506776,2634.714,12590,58.857,,,,,
Low income,2/13/21,508435,2466,12632,50.429,,,,,
Low income,2/14/21,512051,2619.143,12694,51.857,,,,,
Low income,2/15/21,514174,2615.429,12746,52.714,0,,,0,0
Low income,2/16/21,517026,2626.857,12801,54.857,0,,,4170,4170
Low income,2/17/21,520040,2665.571,12851,52.143,0,,,4170,4170
Low income,2/18/21,523127,2724.714,12900,52.714,0,,,4170,4170
Low income,2/19/21,526015,2748.429,12948,51.143,0,,,4170,4170
Low income,2/20/21,528948,2930.429,13004,53.143,0,,,4170,4170
Low income,2/21/21,531665,2802,13053,51.286,0,,,4170,4170
Low income,2/22/21,534154,2854.286,13103,51,0,,,4170,4170
Low income,2/23/21,536373,2763.857,13143,48.857,0,,,5537,5537
Low income,2/24/21,539007,2709.571,13187,48,0,,,5537,5537
Low income,2/25/21,541722,2656.429,13223,46.143,0,,,5537,5537
Low income,2/26/21,544908,2699,13270,46,0,,,5537,5537
Low income,2/27/21,547630,2668.857,13336,47.429,0,,,5537,5537
Low income,2/28/21,550330,2666.429,13380,46.714,8200,,,5537,5537
Low income,3/1/21,552226,2581.714,13432,47,8200,,,5750,5750
Low income,3/2/21,554509,2590.857,13496,50.429,8200,,,6030,6030
Low income,3/3/21,557538,2647.286,13533,49.429,8200,,,6244,6244
